"range"	"frequency"	"Relative_frequency"
"0.005 - 0.015"	5358	0.122771641996242
"0.015 - 0.025"	359	0.00822602080564594
"0.025 - 0.035"	1833	0.0420008248934513
"0.035 - 0.045"	1263	0.0289400119151276
"0.045 - 0.055"	629	0.014412721690115
"0.055 - 0.065"	792	0.018147655927776
"0.065 - 0.075"	344	0.00788231520095321
"0.075 - 0.085"	713	0.0163374730763943
"0.085 - 0.095"	644	0.0147564272948078
"0.095 - 0.105"	526	0.012052609871225
"0.105 - 0.115"	559	0.012808762201549
"0.115 - 0.125"	443	0.0101507721919252
"0.125 - 0.135"	662	0.015168874020439
"0.135 - 0.145"	388	0.00889051830805188
"0.145 - 0.155"	678	0.0155354933321113
"0.155 - 0.165"	625	0.014321066862197
"0.165 - 0.175"	437	0.0100132899500481
"0.175 - 0.185"	681	0.0156042344530498
"0.185 - 0.195"	505	0.0115714220246551
"0.195 - 0.205"	636	0.0145731176389716
"0.205 - 0.215"	479	0.0109756656431878
"0.215 - 0.225"	678	0.0155354933321113
"0.225 - 0.235"	606	0.0138857064295862
"0.235 - 0.245"	430	0.00985289400119151
"0.245 - 0.255"	662	0.015168874020439
"0.255 - 0.265"	465	0.0106548737454745
"0.265 - 0.275"	627	0.014366894276156
"0.275 - 0.285"	643	0.0147335135878282
"0.285 - 0.295"	473	0.0108381834013107
"0.295 - 0.305"	669	0.0153292699692956
"0.305 - 0.315"	510	0.0116859905595527
"0.315 - 0.325"	676	0.0154896659181522
"0.325 - 0.335"	492	0.0112735438339215
"0.335 - 0.345"	616	0.0141148434993813
"0.345 - 0.355"	693	0.015879198936804
"0.355 - 0.365"	446	0.0102195133128638
"0.365 - 0.375"	698	0.0159937674717016
"0.375 - 0.385"	497	0.011388112368819
"0.385 - 0.395"	658	0.015077219192521
"0.395 - 0.405"	503	0.0115255946106961
"0.405 - 0.415"	650	0.0148939095366848
"0.415 - 0.425"	680	0.0155813207460703
"0.425 - 0.435"	431	0.00987580770817103
"0.435 - 0.445"	814	0.0186517574813253
"0.445 - 0.455"	443	0.0101507721919252
"0.455 - 0.465"	766	0.0175518995463086
"0.465 - 0.475"	792	0.018147655927776
"0.475 - 0.485"	388	0.00889051830805188
"0.485 - 0.495"	733	0.0167957472159846
"0.495 - 0.505"	209	0.00478896475871867
