pig	ID	breed
1	HAPmap3_box1_A5_BS01_M18	British Saddleback
2	HAPmap3_box1_B5_BS01_M33	British Saddleback
3	HAPmap3_box1_C5_BS01_M36	British Saddleback
4	HAPmap3_box1_D5_BS01_M37	British Saddleback
5	HAPmap3_box1_E5_BS01_M44	British Saddleback
6	HAPmap3_box1_F5_BS01_F17	British Saddleback
7	HAPmap3_box1_G4_BS01_M01	British Saddleback
8	HAPmap3_box1_H4_BS01_M04	British Saddleback
9	HAPmap3_box1_H5_BS01_F29	British Saddleback
10	HAPmap6_box1G4_SSBS01F02	British Saddleback
11	HAPmap6_box1H4_SSBS01F03	British Saddleback
12	HAPmap6_box1A5_SSBS01F06	British Saddleback
13	HAPmap6_box1B5_SSBS01F10	British Saddleback
14	HAPmap6_box1C5_SSBS01F11	British Saddleback
15	HAPmap6_box1D5_SSBS01F13	British Saddleback
16	HAPmap6_box1E5_SSBS01F15	British Saddleback
17	HAPmap6_box1F5_SSBS01F25	British Saddleback
18	HAPmap6_box1G5_SSBS01F28	British Saddleback
19	HAPmap6_box1H5_SSBS01F31	British Saddleback
20	HAPmap6_box1A6_SSBS01F34	British Saddleback
21	WG0093134-DNAG12_SSDU20M08	Duroc
22	WG0093134-DNAH11_SSDU20M01	Duroc
23	WG0093134-DNAH12_SSDU20M09	Duroc
24	HAPMAP2_box6_H3_SSDU20M11	Duroc
25	HAPMAP2_box6_A4_SSDU20M12	Duroc
26	WG0093134-DNAA12_SSDU20M02	Duroc
27	WG0093134-DNAB12_SSDU20M03	Duroc
28	WG0093132-DNAC08_SSDU21M04	Duroc
29	WG0093133-DNAE08_SSDU21M01	Duroc
30	WG0093133-DNAF08_SSDU21M02	Duroc
31	WG0093133-DNAG08_SSDU21M03	Duroc
32	WG0093133-DNAA01_SSDU22M01	Duroc
33	WG0093133-DNAA02_SSDU22M05	Duroc
34	WG0093133-DNAB02_SSDU22M06	Duroc
35	WG0093133-DNAC01_SSDU22M11	Duroc
36	WG0093135-DNAF03_SSDU23M03	Duroc
37	WG0093136-DNAA01_SSDU23M01	Duroc
38	WG0093136-DNAB01_SSDU23M02	Duroc
39	WG0093136-DNAC01_SSDU23M04	Duroc
40	WG0093136-DNAD01_SSDU23M05	Duroc
41	HAPMAP2_box6_E7_SSLR22M16	Landrace
42	HAPMAP2_box6_F7_SSLR22M17	Landrace
43	HAPMAP2_box6_G7_SSLR22M18	Landrace
44	HAPMAP2_box6_H7_SSLR22M19	Landrace
45	WG0093132-DNAG11_LR20M02	Landrace
46	WG0093132-DNAH11_LR20M03	Landrace
47	WG0093134-DNAD02_LR21M04	Landrace
48	WG0093134-DNAE02_LR21M02	Landrace
49	WG0093134-DNAF02_LR21M03	Landrace
50	WG0093134-DNAB03_LR23M01	Landrace
51	WG0093134-DNAC03_LR23M02	Landrace
