"range"	"frequency"	"Relative_frequency"
"0.005 - 0.015"	4653	0.110373129017719
"0.015 - 0.025"	4217	0.100030837108902
"0.025 - 0.035"	2588	0.0613895675688498
"0.035 - 0.045"	854	0.0202576084636004
"0.045 - 0.055"	2155	0.0511184382190384
"0.055 - 0.065"	1244	0.0295087411343312
"0.065 - 0.075"	872	0.0206845838176341
"0.075 - 0.085"	576	0.0136632113290794
"0.085 - 0.095"	672	0.0159404132172593
"0.095 - 0.105"	717	0.0170078516023436
"0.105 - 0.115"	648	0.0153711127452143
"0.115 - 0.125"	566	0.0134260027990607
"0.125 - 0.135"	456	0.0108167089688545
"0.135 - 0.145"	605	0.0143511160661337
"0.145 - 0.155"	577	0.0136869321820813
"0.155 - 0.165"	642	0.0152287876272031
"0.165 - 0.175"	520	0.0123348435609745
"0.175 - 0.185"	613	0.0145408828901487
"0.185 - 0.195"	555	0.01316507341604
"0.195 - 0.205"	657	0.0155846004222312
"0.205 - 0.215"	459	0.0108878715278601
"0.215 - 0.225"	653	0.0154897170102237
"0.225 - 0.235"	530	0.0125720520909932
"0.235 - 0.245"	697	0.0165334345423061
"0.245 - 0.255"	492	0.011670659676922
"0.255 - 0.265"	672	0.0159404132172593
"0.265 - 0.275"	517	0.0122636810019688
"0.275 - 0.285"	651	0.0154422753042199
"0.285 - 0.295"	521	0.0123585644139763
"0.295 - 0.305"	623	0.0147780914201675
"0.305 - 0.315"	554	0.0131413525630382
"0.315 - 0.325"	634	0.0150390208031881
"0.325 - 0.335"	534	0.0126669355030007
"0.335 - 0.345"	661	0.0156794838342387
"0.345 - 0.355"	583	0.0138292573000925
"0.355 - 0.365"	631	0.0149678582441825
"0.365 - 0.375"	642	0.0152287876272031
"0.375 - 0.385"	432	0.0102474084968095
"0.385 - 0.395"	684	0.0162250634532818
"0.395 - 0.405"	695	0.0164859928363024
"0.405 - 0.415"	642	0.0152287876272031
"0.415 - 0.425"	492	0.011670659676922
"0.425 - 0.435"	659	0.0156320421282349
"0.435 - 0.445"	672	0.0159404132172593
"0.445 - 0.455"	754	0.017885523163413
"0.455 - 0.465"	447	0.0106032212918377
"0.465 - 0.475"	661	0.0156794838342387
"0.475 - 0.485"	680	0.0161301800412743
"0.485 - 0.495"	695	0.0164859928363024
"0.495 - 0.505"	203	0.00481533315938041
