"range"	"frequency"	"Relative_frequency"
"0.005 - 0.015"	394	0.00906539045603055
"0.015 - 0.025"	466	0.0107220100317519
"0.025 - 0.035"	339	0.00779991716902121
"0.035 - 0.045"	401	0.00922645069255902
"0.045 - 0.055"	602	0.0138511803414477
"0.055 - 0.065"	435	0.010008743269983
"0.065 - 0.075"	826	0.0190051079103585
"0.075 - 0.085"	588	0.0135290598683908
"0.085 - 0.095"	643	0.0147945331554001
"0.095 - 0.105"	923	0.0212369426165386
"0.105 - 0.115"	688	0.0158299203902259
"0.115 - 0.125"	1002	0.0230546224287884
"0.125 - 0.135"	712	0.0163821269154664
"0.135 - 0.145"	737	0.0169573420459252
"0.145 - 0.155"	1075	0.024734250609728
"0.155 - 0.165"	783	0.0180157378859694
"0.165 - 0.175"	1056	0.0242970871105794
"0.175 - 0.185"	784	0.0180387464911877
"0.185 - 0.195"	761	0.0175095485711656
"0.195 - 0.205"	1126	0.025907689475864
"0.205 - 0.215"	786	0.0180847637016244
"0.215 - 0.225"	1192	0.0274262574202752
"0.225 - 0.235"	783	0.0180157378859694
"0.235 - 0.245"	889	0.0204546500391146
"0.245 - 0.255"	1190	0.0273802402098385
"0.255 - 0.265"	865	0.0199024435138742
"0.265 - 0.275"	1237	0.028461644655101
"0.275 - 0.285"	841	0.0193502369886337
"0.285 - 0.295"	824	0.0189590906999218
"0.295 - 0.305"	1153	0.0265289218167595
"0.305 - 0.315"	834	0.0191891767521053
"0.315 - 0.325"	1208	0.0277943951037688
"0.325 - 0.335"	862	0.0198334176982191
"0.335 - 0.345"	854	0.0196493488564723
"0.345 - 0.355"	1191	0.0274032488150568
"0.355 - 0.365"	862	0.0198334176982191
"0.365 - 0.375"	1218	0.0280244811559523
"0.375 - 0.385"	859	0.0197643918825641
"0.385 - 0.395"	891	0.0205006672495513
"0.395 - 0.405"	1185	0.0272651971837467
"0.405 - 0.415"	851	0.0195803230408173
"0.415 - 0.425"	1201	0.0276333348672403
"0.425 - 0.435"	785	0.0180617550964061
"0.435 - 0.445"	813	0.0187059960425199
"0.445 - 0.455"	1310	0.0301412728360407
"0.455 - 0.465"	864	0.0198794349086558
"0.465 - 0.475"	1211	0.0278634209194239
"0.475 - 0.485"	843	0.0193962541990705
"0.485 - 0.495"	840	0.0193272283834154
"0.495 - 0.505"	679	0.0156228429432608
